 4.3900E+000	 4.0800E+000	 1.8000E+000	 1.7800E+000	 3.9100E+000	 3.6700E+000	 5.0600E+000	 1.1880E+001	 1.7600E+001	 3.1610E+001	 4.6860E+001	 5.0860E+001	 7.1390E+001	 1.8031E+002	 2.1197E+003	 5.8811E+002	 1.3088E+002	 5.6900E+001	 3.1540E+001	 1.2680E+001	 6.9700E+000	 5.2500E+000	 1.5000E+000	 8.8000E-001	 1.2900E+000	 2.8500E+000	 2.8300E+000	 3.4040E+001	
 2.6660E+001	 7.5200E+000	 4.9100E+000	 7.5500E+000	 7.2800E+000	 1.5120E+001	 1.7230E+001	 1.0620E+001	 1.9160E+001	 4.3410E+001	 4.8300E+001	 5.4370E+001	 1.1533E+002	 2.0435E+002	 8.8350E+002	 3.3142E+002	 1.4443E+002	 8.7500E+001	 5.2880E+001	 2.8610E+001	 1.5850E+001	 1.1960E+001	 8.1600E+000	 8.1000E+000	 2.5900E+000	 2.8600E+000	 2.3900E+000	 6.8140E+001	
 4.6710E+001	 1.0540E+001	 8.1900E+000	 4.1900E+000	 1.1280E+001	 1.9650E+001	 2.3880E+001	 2.3740E+001	 3.3250E+001	 4.6840E+001	 6.2690E+001	 8.0270E+001	 1.1332E+002	 1.8970E+002	 5.2770E+002	 2.0827E+002	 1.3545E+002	 9.5340E+001	 6.4970E+001	 4.4370E+001	 2.8410E+001	 1.7760E+001	 1.3140E+001	 1.0120E+001	 6.3600E+000	 8.3500E+000	 5.7700E+000	 1.0204E+002	
 5.3530E+001	 8.0600E+000	 1.4110E+001	 1.7850E+001	 1.4000E+001	 1.2910E+001	 2.0600E+001	 1.8860E+001	 4.1820E+001	 4.4500E+001	 5.7180E+001	 1.0267E+002	 1.3141E+002	 1.5155E+002	 3.4711E+002	 1.6355E+002	 1.2982E+002	 1.1638E+002	 8.6680E+001	 5.1220E+001	 2.9550E+001	 3.0090E+001	 2.2540E+001	 2.3470E+001	 1.2980E+001	 1.4970E+001	 1.3330E+001	 1.1290E+002	
 7.8900E+001	 2.0460E+001	 1.7180E+001	 3.1080E+001	 1.8930E+001	 1.8300E+001	 2.6530E+001	 3.6470E+001	 4.2460E+001	 6.1340E+001	 7.3140E+001	 1.2329E+002	 1.3383E+002	 1.5169E+002	 3.1016E+002	 1.3944E+002	 1.3622E+002	 1.1964E+002	 9.7560E+001	 7.2270E+001	 5.5350E+001	 3.4380E+001	 3.1430E+001	 3.5290E+001	 2.6590E+001	 1.6890E+001	 1.6550E+001	 8.8980E+001	
 9.5510E+001	 2.1420E+001	 1.9680E+001	 2.8260E+001	 2.9580E+001	 2.7190E+001	 3.8070E+001	 5.1740E+001	 5.2330E+001	 6.8340E+001	 9.6710E+001	 9.8110E+001	 1.2687E+002	 1.6612E+002	 2.8662E+002	 1.1921E+002	 1.1694E+002	 1.0669E+002	 8.9570E+001	 6.8890E+001	 6.8640E+001	 5.1790E+001	 4.4280E+001	 3.2050E+001	 4.1300E+001	 3.2710E+001	 2.4440E+001	 1.2406E+002	
 1.0159E+002	 1.4090E+001	 2.0500E+001	 2.3790E+001	 2.2060E+001	 2.3610E+001	 3.4520E+001	 5.2120E+001	 6.3920E+001	 6.9410E+001	 8.7960E+001	 9.4200E+001	 1.1397E+002	 1.3152E+002	 2.1917E+002	 1.1757E+002	 1.0591E+002	 8.4080E+001	 9.5350E+001	 8.9980E+001	 7.2380E+001	 5.6050E+001	 4.4030E+001	 3.8310E+001	 3.0960E+001	 3.6730E+001	 2.1710E+001	 1.3577E+002	
 1.1938E+002	 2.4430E+001	 2.2940E+001	 3.5360E+001	 3.3510E+001	 2.6990E+001	 4.4720E+001	 6.1380E+001	 5.7680E+001	 6.3560E+001	 7.7730E+001	 9.4600E+001	 1.1080E+002	 1.1241E+002	 2.1725E+002	 1.0958E+002	 9.0430E+001	 9.3390E+001	 8.2610E+001	 9.1620E+001	 8.4690E+001	 6.2830E+001	 4.3380E+001	 3.7530E+001	 4.0890E+001	 2.8300E+001	 2.1110E+001	 1.7150E+002	
 1.3480E+002	 1.8340E+001	 3.2320E+001	 3.3640E+001	 4.3900E+001	 3.9720E+001	 3.9990E+001	 4.2420E+001	 6.0380E+001	 9.1920E+001	 7.7570E+001	 8.1750E+001	 9.7590E+001	 1.2318E+002	 1.8382E+002	 9.4030E+001	 8.4750E+001	 7.9120E+001	 7.7380E+001	 6.9420E+001	 7.4400E+001	 6.6970E+001	 5.6010E+001	 3.1390E+001	 3.0800E+001	 3.0430E+001	 2.1830E+001	 1.7991E+002	
 1.1834E+002	 2.3760E+001	 3.6840E+001	 3.7330E+001	 3.4970E+001	 4.1010E+001	 4.0470E+001	 4.1680E+001	 6.3300E+001	 8.4180E+001	 9.1160E+001	 7.7500E+001	 7.8210E+001	 1.1772E+002	 1.7804E+002	 9.0850E+001	 7.0080E+001	 7.3980E+001	 6.5460E+001	 6.8410E+001	 6.1850E+001	 5.0230E+001	 5.7150E+001	 5.2290E+001	 4.0570E+001	 3.0690E+001	 2.4480E+001	 1.7328E+002	
