A_l #Absorption as a function of layer. [-]
 layer_index	Absorption
1	      0.2691

A_z #A[0], [1],..A[nz-1]. [1/cm]

0.000	 5.2970E-001
0.100	 4.7516E-001
0.200	 3.9632E-001
0.300	 3.2746E-001
0.400	 2.6849E-001
0.500	 2.1759E-001
0.600	 1.7323E-001
0.700	 1.3415E-001
0.800	 1.6845E-001

# position   A[r][z]. [1/cm3]
# A[0][0], [1][0],..[nr-1][0]
# A[0][1], [1][1],..[nr-1][1]
# ...
# A[0][nz-1], [1][nz-1],..[nr-1][nz-1]
r    z   A_rz

0.000	0.000	 4.6196E+000
0.100	0.000	 1.1849E+000
0.200	0.000	 4.8435E-001
0.300	0.000	 2.4555E-001
0.400	0.000	 1.3550E-001
0.500	0.000	 7.9231E-002
0.600	0.000	 4.8453E-002
0.700	0.000	 3.0679E-002
0.800	0.000	 1.9954E-002
0.900	0.000	 1.3251E-002
1.000	0.000	 8.9620E-003
1.100	0.000	 6.1591E-003
1.200	0.000	 4.2700E-003
1.300	0.000	 1.2488E-002
0.000	0.100	 2.0771E+000
0.100	0.100	 1.0440E+000
0.200	0.100	 4.9819E-001
0.300	0.100	 2.6929E-001
0.400	0.100	 1.5574E-001
0.500	0.100	 9.4240E-002
0.600	0.100	 5.9121E-002
0.700	0.100	 3.8150E-002
0.800	0.100	 2.5217E-002
0.900	0.100	 1.6927E-002
1.000	0.100	 1.1540E-002
1.100	0.100	 7.9740E-003
1.200	0.100	 5.5525E-003
1.300	0.100	 1.6514E-002
0.000	0.200	 9.2563E-001
0.100	0.200	 6.5821E-001
0.200	0.200	 4.0461E-001
0.300	0.200	 2.4680E-001
0.400	0.200	 1.5357E-001
0.500	0.200	 9.7755E-002
0.600	0.200	 6.3610E-002
0.700	0.200	 4.2203E-002
0.800	0.200	 2.8434E-002
0.900	0.200	 1.9380E-002
1.000	0.200	 1.3380E-002
1.100	0.200	 9.3659E-003
1.200	0.200	 6.5817E-003
1.300	0.200	 1.9796E-002
0.000	0.300	 4.9319E-001
0.100	0.300	 4.0535E-001
0.200	0.300	 2.9363E-001
0.300	0.300	 2.0077E-001
0.400	0.300	 1.3536E-001
0.500	0.300	 9.1231E-002
0.600	0.300	 6.1800E-002
0.700	0.300	 4.2273E-002
0.800	0.300	 2.9170E-002
0.900	0.300	 2.0321E-002
1.000	0.300	 1.4226E-002
1.100	0.300	 1.0065E-002
1.200	0.300	 7.1419E-003
1.300	0.300	 2.1868E-002
0.000	0.400	 2.9511E-001
0.100	0.400	 2.5950E-001
0.200	0.400	 2.0620E-001
0.300	0.400	 1.5391E-001
0.400	0.400	 1.1121E-001
0.500	0.400	 7.9070E-002
0.600	0.400	 5.5929E-002
0.700	0.400	 3.9520E-002
0.800	0.400	 2.7941E-002
0.900	0.400	 1.9835E-002
1.000	0.400	 1.4128E-002
1.100	0.400	 1.0122E-002
1.200	0.400	 7.2486E-003
1.300	0.400	 2.2635E-002
0.000	0.500	 1.8861E-001
0.100	0.500	 1.7181E-001
0.200	0.500	 1.4449E-001
0.300	0.500	 1.1453E-001
0.400	0.500	 8.7379E-002
0.500	0.500	 6.5145E-002
0.600	0.500	 4.7865E-002
0.700	0.500	 3.4871E-002
0.800	0.500	 2.5275E-002
0.900	0.500	 1.8334E-002
1.000	0.500	 1.3250E-002
1.100	0.500	 9.5923E-003
1.200	0.500	 6.9448E-003
1.300	0.500	 2.2181E-002
0.000	0.600	 1.2494E-001
0.100	0.600	 1.1616E-001
0.200	0.600	 1.0134E-001
0.300	0.600	 8.3875E-002
0.400	0.600	 6.6691E-002
0.500	0.600	 5.1572E-002
0.600	0.600	 3.9157E-002
